indication,indication_concept_id,indication_clean,cancer_flag
HERPES SIMPLEX TEST POSITIVE,788764,HERPES SIMPLEX TEST POSITIVE,FALSE
BLOOD PRESSURE DIASTOLIC DECREASED,36312073,BLOOD PRESSURE DIASTOLIC DECREASED,FALSE
APNOEIC ATTACK,36718349,APNOEIC ATTACK,FALSE
CONVULSIVE THRESHOLD LOWERED,36718528,CONVULSIVE THRESHOLD LOWERED,FALSE
REACTION TO EXCIPIENT,1198124,REACTION TO EXCIPIENT,FALSE
URINE ALBUMIN/CREATININE RATIO,36315624,URINE ALBUMIN/CREATININE RATIO,FALSE
GASTROINTESTINAL NEUROENDOCRINE CARCINOMA,42622396,GASTROINTESTINAL NEUROENDOCRINE CARCINOMA,TRUE
SUTURE RELATED COMPLICATION,36211703,SUTURE RELATED COMPLICATION,FALSE
HYPOSIDERAEMIA,36416621,HYPOSIDERAEMIA,FALSE
SOFT TISSUE SWELLING,46276766,SOFT TISSUE SWELLING,FALSE
BLOOD IMMUNOGLOBULIN G NORMAL,36313805,BLOOD IMMUNOGLOBULIN G NORMAL,FALSE
EYELID MYOCLONUS,45885395,EYELID MYOCLONUS,FALSE
AUTOIMMUNE ENDOCRINE DISORDER,1200523,AUTOIMMUNE ENDOCRINE DISORDER,FALSE
ARTERIAL BYPASS OCCLUSION,788413,ARTERIAL BYPASS OCCLUSION,FALSE
CYTOMEGALOVIRUS DUODENITIS,35707898,CYTOMEGALOVIRUS DUODENITIS,FALSE
THYROID STEATOSIS,1200197,THYROID STEATOSIS,FALSE
LIP DISCOLOURATION,35708616,LIP DISCOLOURATION,FALSE
CONFLUENT AND RETICULATE PAPILLOMATOSIS,42890364,CONFLUENT AND RETICULATE PAPILLOMATOSIS,FALSE
LASSA FEVER,36110869,LASSA FEVER,FALSE
LIP AND/OR ORAL CAVITY CANCER STAGE IV,35708482,LIP AND/OR ORAL CAVITY CANCER STAGE IV,TRUE
CENTRAL VENOUS PRESSURE,36311812,CENTRAL VENOUS PRESSURE,FALSE
CERVICAL DILATATION,1198608,CERVICAL DILATATION,FALSE
DISCHARGE,1200067,DISCHARGE,FALSE
CITROBACTER TEST POSITIVE,42890033,CITROBACTER TEST POSITIVE,FALSE
GASTRITIS HERPES,35707905,GASTRITIS HERPES,FALSE
BRIEF PSYCHOTIC DISORDER WITHOUT MARKED STRESSORS,36919135,BRIEF PSYCHOTIC DISORDER WITHOUT MARKED STRESSORS,FALSE
BILIRUBIN EXCRETION DISORDER,35909507,BILIRUBIN EXCRETION DISORDER,FALSE
OVARIAN THECA CELL TUMOUR,43054050,OVARIAN THECA CELL TUMOUR,TRUE
NAIL BED INFLAMMATION,37320291,NAIL BED INFLAMMATION,FALSE
DYSLALIA,36718419,DYSLALIA,FALSE
CARBON DIOXIDE ABNORMAL,36314107,CARBON DIOXIDE ABNORMAL,FALSE
PAROXYSMAL SYMPATHETIC HYPERACTIVITY,788631,PAROXYSMAL SYMPATHETIC HYPERACTIVITY,FALSE
CHEMICAL BURN,36252345,CHEMICAL BURN,FALSE
DRUG INEFFECTIVE FOR UNAPPROVED INDICATION,35809328,DRUG INEFFECTIVE FOR UNAPPROVED INDICATION,FALSE
AMEGAKARYOCYTIC THROMBOCYTOPENIA,46276677,AMEGAKARYOCYTIC THROMBOCYTOPENIA,FALSE
JOB CHANGE,37420367,JOB CHANGE,FALSE
HEART VALVE EXPLANTATION,37520755,HEART VALVE EXPLANTATION,FALSE
CONTRAST MEDIA DEPOSITION,1199626,CONTRAST MEDIA DEPOSITION,FALSE
TILT TABLE TEST,36311852,TILT TABLE TEST,FALSE
DRUG SPECIFIC ANTIBODY,1198773,DRUG SPECIFIC ANTIBODY,FALSE
URINARY TRACT INFECTION VIRAL,36111044,URINARY TRACT INFECTION VIRAL,FALSE
BRAIN COMPRESSION,36718150,BRAIN COMPRESSION,FALSE
URINE POTASSIUM,36315717,URINE POTASSIUM,FALSE
GENETIC POLYMORPHISM,42889423,GENETIC POLYMORPHISM,FALSE
TRICHODYSPLASIA SPINULOSA,42889510,TRICHODYSPLASIA SPINULOSA,FALSE
UTERINE POLYPECTOMY,37521666,UTERINE POLYPECTOMY,FALSE
NEONATAL RESPIRATORY DISTRESS,36878141,NEONATAL RESPIRATORY DISTRESS,FALSE
BREVIBACTERIUM INFECTION,788589,BREVIBACTERIUM INFECTION,FALSE
BUTTOCK INJURY,788634,BUTTOCK INJURY,FALSE
ABO HAEMOLYTIC DISEASE OF NEWBORN,35104294,ABO HAEMOLYTIC DISEASE OF NEWBORN,FALSE
HEREDITARY NEUROPATHY WITH LIABILITY TO PRESSURE PALSIES,42889083,HEREDITARY NEUROPATHY WITH LIABILITY TO PRESSURE PALSIES,FALSE
BONE MARROW DONOR,42890518,BONE MARROW DONOR,FALSE
COAGULATION FACTOR LEVEL NORMAL,36313017,COAGULATION FACTOR LEVEL NORMAL,FALSE
BREECH PRESENTATION,36818660,BREECH PRESENTATION,FALSE
LARYNGITIS BACTERIAL,36110046,LARYNGITIS BACTERIAL,FALSE
PULMONARY ECHINOCOCCIASIS,36110442,PULMONARY ECHINOCOCCIASIS,FALSE
POLYCYTHAEMIA NEONATORUM,43562717,POLYCYTHAEMIA NEONATORUM,FALSE
COUGH VARIANT ASTHMA,36044996,COUGH VARIANT ASTHMA,FALSE
GASTROSCHISIS,35305674,GASTROSCHISIS,FALSE
SENSORY LEVEL ABNORMAL,36315108,SENSORY LEVEL ABNORMAL,FALSE
BIOPSY VULVA,36315906,BIOPSY VULVA,FALSE
IMPLANT SITE PRURITUS,35808902,IMPLANT SITE PRURITUS,FALSE
LAZINESS,36919056,LAZINESS,FALSE
CYP2D6 POLYMORPHISM,42889419,CYP2D6 POLYMORPHISM,FALSE
NASAL MUCOSAL HYPERTROPHY,37220021,NASAL MUCOSAL HYPERTROPHY,FALSE
CALCIFICATION METASTATIC,36416558,CALCIFICATION METASTATIC,TRUE
PROCEDURAL INTESTINAL PERFORATION,43562914,PROCEDURAL INTESTINAL PERFORATION,FALSE
CYTAPHERESIS,37521127,CYTAPHERESIS,FALSE
BRONCHITIS HAEMOPHILUS,36110136,BRONCHITIS HAEMOPHILUS,FALSE
OESOPHAGOBRONCHIAL FISTULA,35707813,OESOPHAGOBRONCHIAL FISTULA,FALSE
PLASMA CELL LEUKAEMIA IN REMISSION,43053714,PLASMA CELL LEUKAEMIA IN REMISSION,TRUE
BLOOD PRESSURE DIASTOLIC,36312071,BLOOD PRESSURE DIASTOLIC,FALSE
TUBERCULOSIS OF INTRATHORACIC LYMPH NODES,35104775,TUBERCULOSIS OF INTRATHORACIC LYMPH NODES,FALSE
UTERINE SCAR,45885371,UTERINE SCAR,FALSE
HYPERCATABOLISM,36416672,HYPERCATABOLISM,FALSE
SCAR EXCISION,37521887,SCAR EXCISION,FALSE
PERIPHERAL NERVE NEUROSTIMULATION,37521485,PERIPHERAL NERVE NEUROSTIMULATION,FALSE
HER2 POSITIVE SALIVARY GLAND CANCER,35327823,HER2 POSITIVE SALIVARY GLAND CANCER,TRUE
NONINFECTIVE MYRINGITIS,1199291,NONINFECTIVE MYRINGITIS,FALSE
BULBOSPINAL MUSCULAR ATROPHY CONGENITAL,35306100,BULBOSPINAL MUSCULAR ATROPHY CONGENITAL,FALSE
DIAPHRAGMALGIA,37219927,DIAPHRAGMALGIA,FALSE
ALPHA-1 ACID GLYCOPROTEIN ABNORMAL,36315433,ALPHA-1 ACID GLYCOPROTEIN ABNORMAL,FALSE
FEAR-RELATED AVOIDANCE OF ACTIVITIES,1199829,FEAR-RELATED AVOIDANCE OF ACTIVITIES,FALSE
TISSUE EXPANSION PROCEDURE,43562947,TISSUE EXPANSION PROCEDURE,FALSE
VIRAL PERICARDITIS,35205373,VIRAL PERICARDITIS,FALSE
ECTOPIC HORMONE SECRETION,35506700,ECTOPIC HORMONE SECRETION,FALSE
ARTERIAL ANEURYSM REPAIR,37522303,ARTERIAL ANEURYSM REPAIR,FALSE
BRACHIOCEPHALIC VEIN THROMBOSIS,37689436,BRACHIOCEPHALIC VEIN THROMBOSIS,FALSE
HYPOCOMPLEMENTAEMIA,35104205,HYPOCOMPLEMENTAEMIA,FALSE
PRIMARY HYPOPARATHYROIDISM,45886269,PRIMARY HYPOPARATHYROIDISM,FALSE
PSORIASIS AREA SEVERITY INDEX,1199308,PSORIASIS AREA SEVERITY INDEX,FALSE
METASTASES TO PERIPHERAL NERVOUS SYSTEM,36617230,METASTASES TO PERIPHERAL NERVOUS SYSTEM,TRUE
MONOCLONAL ANTIBODY UNCONJUGATED THERAPY,37522029,MONOCLONAL ANTIBODY UNCONJUGATED THERAPY,FALSE
ANTI-GAD ANTIBODY,36313617,ANTI-GAD ANTIBODY,FALSE
MALIGNANT NEOPLASM OF PARAURETHRAL GLANDS,36617513,MALIGNANT NEOPLASM OF PARAURETHRAL GLANDS,TRUE
VECTOR-BORNE TRANSMISSION OF INFECTION,36109985,VECTOR-BORNE TRANSMISSION OF INFECTION,FALSE
ANTIDIURETIC HORMONE ABNORMALITY,35506688,ANTIDIURETIC HORMONE ABNORMALITY,FALSE
HUMAN CHORIONIC GONADOTROPIN DECREASED,42889754,HUMAN CHORIONIC GONADOTROPIN DECREASED,FALSE
FACIODIGITOGENITAL DYSPLASIA,35306002,FACIODIGITOGENITAL DYSPLASIA,FALSE
CENTRAL NERVOUS SYSTEM ABSCESS,36110481,CENTRAL NERVOUS SYSTEM ABSCESS,FALSE
EPIPHYSES PREMATURE FUSION,35506572,EPIPHYSES PREMATURE FUSION,FALSE
GAMMA-GLUTAMYLTRANSFERASE,36313570,GAMMA-GLUTAMYLTRANSFERASE,FALSE
ADENOSINE DEAMINASE 2 DEFICIENCY,37179262,ADENOSINE DEAMINASE 2 DEFICIENCY,FALSE
GLOBULIN,36315507,GLOBULIN,FALSE
INTERFERON GAMMA RELEASE ASSAY POSITIVE,43053966,INTERFERON GAMMA RELEASE ASSAY POSITIVE,FALSE
EYE COLOUR CHANGE,42889154,EYE COLOUR CHANGE,FALSE
PREGNANCY WITH ADVANCED MATERNAL AGE,36818816,PREGNANCY WITH ADVANCED MATERNAL AGE,FALSE
MULTIPAROUS,37420450,MULTIPAROUS,FALSE
PIERRE ROBIN SYNDROME,35305902,PIERRE ROBIN SYNDROME,FALSE
PITUITARY INFARCTION,35506671,PITUITARY INFARCTION,FALSE
OPIATES POSITIVE,36316295,OPIATES POSITIVE,FALSE
VAGINAL CELLULITIS,36110077,VAGINAL CELLULITIS,FALSE
USHER'S SYNDROME,35305647,USHER'S SYNDROME,FALSE
ANTIMICROBIAL SUSCEPTIBILITY TEST,36314484,ANTIMICROBIAL SUSCEPTIBILITY TEST,FALSE
ADMINISTRATION SITE RASH,42889324,ADMINISTRATION SITE RASH,FALSE
APPLICATION SITE HYPERSENSITIVITY,35808806,APPLICATION SITE HYPERSENSITIVITY,FALSE
APPLICATION SITE DERMATITIS,35808793,APPLICATION SITE DERMATITIS,FALSE
APPLICATION SITE PAPULES,35808818,APPLICATION SITE PAPULES,FALSE
APPLICATION SITE CELLULITIS,35808791,APPLICATION SITE CELLULITIS,FALSE
APPLICATION SITE URTICARIA,35808830,APPLICATION SITE URTICARIA,FALSE
MEDICAL DEVICE SITE ANAESTHESIA,45885427,MEDICAL DEVICE SITE ANAESTHESIA,FALSE
CEREBRAL HYPERPERFUSION SYNDROME,36211524,CEREBRAL HYPERPERFUSION SYNDROME,FALSE
LIMB ASYMMETRY,42890546,LIMB ASYMMETRY,FALSE
CONGENITAL PANCREATIC ANOMALY,35305709,CONGENITAL PANCREATIC ANOMALY,FALSE
ATROPHIC THYROIDITIS,46276828,ATROPHIC THYROIDITIS,FALSE
CHEMOTHERAPEUTIC DRUG LEVEL THERAPEUTIC,36316174,CHEMOTHERAPEUTIC DRUG LEVEL THERAPEUTIC,FALSE
HIV INFECTION CDC GROUP IV,36009941,HIV INFECTION CDC GROUP IV,FALSE
PROCALCITONIN INCREASED,36315527,PROCALCITONIN INCREASED,FALSE
GENITOURINARY TRACT GONOCOCCAL INFECTION,36110173,GENITOURINARY TRACT GONOCOCCAL INFECTION,FALSE
REBOUND PSYCHOSIS,45885957,REBOUND PSYCHOSIS,FALSE
DENTAL PROSTHESIS PLACEMENT,37521191,DENTAL PROSTHESIS PLACEMENT,FALSE
SPLENIC CANDIDIASIS,35104792,SPLENIC CANDIDIASIS,FALSE
EXTERNAL EAR PAIN,35406339,EXTERNAL EAR PAIN,FALSE
CONGENITAL OESOPHAGEAL ANOMALY,35305697,CONGENITAL OESOPHAGEAL ANOMALY,FALSE
ACTINOMYCOTIC PULMONARY INFECTION,36110000,ACTINOMYCOTIC PULMONARY INFECTION,FALSE
PELVIC FLUID COLLECTION,35708652,PELVIC FLUID COLLECTION,FALSE
LUMBOSACRAL PLEXOPATHY,45886072,LUMBOSACRAL PLEXOPATHY,FALSE
MARGINAL ZONE LYMPHOMA RECURRENT,788327,MARGINAL ZONE LYMPHOMA RECURRENT,TRUE
PACEMAKER GENERATED RHYTHM,37520726,PACEMAKER GENERATED RHYTHM,FALSE
NEUTROPHIL TOXIC GRANULATION PRESENT,36313450,NEUTROPHIL TOXIC GRANULATION PRESENT,FALSE
VASCULAR IMAGING,36312055,VASCULAR IMAGING,FALSE
NASAL VALVE COLLAPSE,788754,NASAL VALVE COLLAPSE,FALSE
NODULAR RASH,45886795,NODULAR RASH,FALSE
CEREBELLAR COGNITIVE AFFECTIVE SYNDROME,36718281,CEREBELLAR COGNITIVE AFFECTIVE SYNDROME,FALSE
HAIR GROWTH RATE ABNORMAL,1197790,HAIR GROWTH RATE ABNORMAL,FALSE
MOANING,36919049,MOANING,FALSE
PHILADELPHIA POSITIVE ACUTE LYMPHOCYTIC LEUKAEMIA,1199337,PHILADELPHIA POSITIVE ACUTE LYMPHOCYTIC LEUKAEMIA,TRUE
CARCINOID TUMOUR OF THE PROSTATE,35506716,CARCINOID TUMOUR OF THE PROSTATE,TRUE
DONOR SITE COMPLICATION,36211653,DONOR SITE COMPLICATION,FALSE
ENCHONDROMATOSIS,36517010,ENCHONDROMATOSIS,TRUE
SKIN TEXTURE ABNORMAL,45885975,SKIN TEXTURE ABNORMAL,FALSE
PARADOXICAL PRESSOR RESPONSE,37622532,PARADOXICAL PRESSOR RESPONSE,FALSE
CYTOMEGALOVIRUS PANCREATITIS,35707706,CYTOMEGALOVIRUS PANCREATITIS,FALSE
N-TERMINAL PROHORMONE BRAIN NATRIURETIC PEPTIDE INCREASED,42890003,N-TERMINAL PROHORMONE BRAIN NATRIURETIC PEPTIDE INCREASED,FALSE
APICECTOMY,37521182,APICECTOMY,FALSE
MALIGNANT NEOPLASM OF SEMINAL VESICLE,36617713,MALIGNANT NEOPLASM OF SEMINAL VESICLE,TRUE
ACTINOMYCES TEST POSITIVE,42890009,ACTINOMYCES TEST POSITIVE,FALSE
FUNDUS AUTOFLUORESCENCE,1199253,FUNDUS AUTOFLUORESCENCE,FALSE
POOR FEEDING INFANT,45886008,POOR FEEDING INFANT,FALSE
FORCEPS DELIVERY,37521621,FORCEPS DELIVERY,FALSE
STASIS SYNDROME,35708371,STASIS SYNDROME,FALSE
CHEMICAL BURNS OF EYE,35607185,CHEMICAL BURNS OF EYE,FALSE
EXPOSURE TO LEAD,42889629,EXPOSURE TO LEAD,FALSE
EXTRADURAL NEOPLASM,43054031,EXTRADURAL NEOPLASM,TRUE
PULSE ABSENT,36311995,PULSE ABSENT,FALSE
BLADDER CATHETER REMOVAL,37521748,BLADDER CATHETER REMOVAL,FALSE
BASAL CELL CARCINOMA METASTATIC,43011032,BASAL CELL CARCINOMA METASTATIC,TRUE
ENDOCARDITIS FIBROPLASTICA,35205224,ENDOCARDITIS FIBROPLASTICA,FALSE
THYROID CALCIFICATION,788591,THYROID CALCIFICATION,FALSE
DYSCALCULIA,36718302,DYSCALCULIA,FALSE
TRAUMATIC HAEMATOMA,36211320,TRAUMATIC HAEMATOMA,FALSE
NEURITIS CRANIAL,36718074,NEURITIS CRANIAL,FALSE
LEYDIG CELL TUMOUR OF THE TESTIS,43054078,LEYDIG CELL TUMOUR OF THE TESTIS,TRUE
CUTANEOUS LYMPHOMA,1199131,CUTANEOUS LYMPHOMA,TRUE
ROSEOLOVIRUS TEST POSITIVE,42889969,ROSEOLOVIRUS TEST POSITIVE,FALSE
POST-INJECTION DELIRIUM SEDATION SYNDROME,43053933,POST-INJECTION DELIRIUM SEDATION SYNDROME,FALSE
SERRATIA BACTERAEMIA,36110213,SERRATIA BACTERAEMIA,FALSE
FLUID BALANCE NEGATIVE,45885553,FLUID BALANCE NEGATIVE,FALSE
HYPOCAPNIA,37219904,HYPOCAPNIA,FALSE
PLASMIN INHIBITOR,36313059,PLASMIN INHIBITOR,FALSE
NECROTISING SOFT TISSUE INFECTION,46277190,NECROTISING SOFT TISSUE INFECTION,FALSE
BURNING SENSATION MUCOSAL,35809192,BURNING SENSATION MUCOSAL,FALSE
HIV VIRAEMIA,788761,HIV VIRAEMIA,FALSE
CONGENITAL CYST,35305495,CONGENITAL CYST,FALSE
DIABETIC CARDIOMYOPATHY,35205278,DIABETIC CARDIOMYOPATHY,FALSE
URINARY BLADDER SUSPENSION,1197808,URINARY BLADDER SUSPENSION,FALSE
EXOCRINE PANCREATIC FUNCTION TEST ABNORMAL,36312643,EXOCRINE PANCREATIC FUNCTION TEST ABNORMAL,FALSE
NECK EXPLORATION,37521232,NECK EXPLORATION,FALSE
OCCUPATIONAL PROBLEM ENVIRONMENTAL,37420405,OCCUPATIONAL PROBLEM ENVIRONMENTAL,FALSE
FALLOPIAN TUBE CANCER STAGE IV,36617594,FALLOPIAN TUBE CANCER STAGE IV,TRUE
POTASSIUM WASTING NEPHROPATHY,45886248,POTASSIUM WASTING NEPHROPATHY,FALSE
MEDICATION OVERUSE HEADACHE,42889478,MEDICATION OVERUSE HEADACHE,FALSE
CONGENITAL CENTRAL HYPOVENTILATION SYNDROME,35306049,CONGENITAL CENTRAL HYPOVENTILATION SYNDROME,FALSE
ULTRASOUND UTERUS ABNORMAL,36315966,ULTRASOUND UTERUS ABNORMAL,FALSE
DANDY-WALKER SYNDROME,35306087,DANDY-WALKER SYNDROME,FALSE
ADRENAL HAEMORRHAGE,35506475,ADRENAL HAEMORRHAGE,FALSE
CARDIAC DYSFUNCTION,1200394,CARDIAC DYSFUNCTION,FALSE
DOUBLE URETER,35306175,DOUBLE URETER,FALSE
GALACTOGRAPHY,36315927,GALACTOGRAPHY,FALSE
ANTI-MYELIN-ASSOCIATED GLYCOPROTEIN ANTIBODIES POSITIVE,788561,ANTI-MYELIN-ASSOCIATED GLYCOPROTEIN ANTIBODIES POSITIVE,FALSE
TESTICULAR EMBRYONAL CARCINOMA STAGE I,36617730,TESTICULAR EMBRYONAL CARCINOMA STAGE I,TRUE
BIOTINIDASE DEFICIENCY,42889044,BIOTINIDASE DEFICIENCY,FALSE
DENTATORUBRAL-PALLIDOLUYSIAN ATROPHY,45885993,DENTATORUBRAL-PALLIDOLUYSIAN ATROPHY,FALSE
WRONG PRODUCT ADMINISTERED,1198880,WRONG PRODUCT ADMINISTERED,FALSE
SPINAL CORD INJURY LUMBAR,36211405,SPINAL CORD INJURY LUMBAR,FALSE
"FOLLICLE CENTRE LYMPHOMA, FOLLICULAR GRADE I, II, III STAGE II",35104515,"FOLLICLE CENTRE LYMPHOMA, FOLLICULAR GRADE I, II, III STAGE II",TRUE
CONGENITAL FOOT MALFORMATION,35305920,CONGENITAL FOOT MALFORMATION,FALSE
INJECTION SITE PLAQUE,43053811,INJECTION SITE PLAQUE,FALSE
PERFORATION,46276659,PERFORATION,FALSE
BLADDER PERFORATION,36211757,BLADDER PERFORATION,FALSE
FLUOROSIS,36211168,FLUOROSIS,FALSE
DROWNING,35809062,DROWNING,FALSE
LARYNX IRRITATION,37219996,LARYNX IRRITATION,FALSE
BLOOD ZINC ABNORMAL,36316395,BLOOD ZINC ABNORMAL,FALSE
ATYPICAL FEMUR FRACTURE,42889622,ATYPICAL FEMUR FRACTURE,FALSE
BODY MASS INDEX ABNORMAL,45886451,BODY MASS INDEX ABNORMAL,FALSE
ECTOPIC THYROID,42889003,ECTOPIC THYROID,FALSE
HYPERAESTHESIA TEETH,1334584,HYPERAESTHESIA TEETH,FALSE
RADIOLOGICALLY ISOLATED SYNDROME,1198681,RADIOLOGICALLY ISOLATED SYNDROME,FALSE
CAREGIVER,37420415,CAREGIVER,FALSE
DRUG EFFECT DELAYED,35809324,DRUG EFFECT DELAYED,FALSE
KEARNS-SAYRE SYNDROME,35205283,KEARNS-SAYRE SYNDROME,FALSE
ANNULAR ELASTOLYTIC GIANT CELL GRANULOMA,788630,ANNULAR ELASTOLYTIC GIANT CELL GRANULOMA,FALSE
BLOOD CYANIDE INCREASED,36316362,BLOOD CYANIDE INCREASED,FALSE
ANTI-THYROID ANTIBODY,36312445,ANTI-THYROID ANTIBODY,FALSE
AUTOMATISM EPILEPTIC,36718511,AUTOMATISM EPILEPTIC,FALSE
ZIKA VIRUS INFECTION,788758,ZIKA VIRUS INFECTION,FALSE
FISTULOTOMY,1198192,FISTULOTOMY,FALSE
HIV INFECTION CDC GROUP IV SUBGROUP C1,36009931,HIV INFECTION CDC GROUP IV SUBGROUP C1,FALSE
STRABISMUS CONGENITAL,35305629,STRABISMUS CONGENITAL,FALSE
INJECTION SITE DISCOMFORT,35808971,INJECTION SITE DISCOMFORT,FALSE
INTESTINAL PSEUDO-OBSTRUCTION,35738120,INTESTINAL PSEUDO-OBSTRUCTION,FALSE
ABSCESS OF EXTERNAL AUDITORY MEATUS,35406342,ABSCESS OF EXTERNAL AUDITORY MEATUS,FALSE
SKIN LAXITY,36568819,SKIN LAXITY,FALSE
MICROCYTOSIS,35104710,MICROCYTOSIS,FALSE
SCAPULA FRACTURE,36211134,SCAPULA FRACTURE,FALSE
ANTERIOR SPINAL ARTERY SYNDROME,36718580,ANTERIOR SPINAL ARTERY SYNDROME,FALSE
FRACTURED ISCHIUM,36211107,FRACTURED ISCHIUM,FALSE
ANAMNESTIC REACTION,1199275,ANAMNESTIC REACTION,FALSE
TRICUSPID VALVE STENOSIS,35205116,TRICUSPID VALVE STENOSIS,FALSE
CARDIAC INDEX ABNORMAL,36311793,CARDIAC INDEX ABNORMAL,FALSE
DIVERTICULUM OESOPHAGEAL,35707696,DIVERTICULUM OESOPHAGEAL,FALSE
GENDER REASSIGNMENT THERAPY,1198958,GENDER REASSIGNMENT THERAPY,FALSE
VARICOSE VEIN RUPTURED,37622546,VARICOSE VEIN RUPTURED,FALSE
AUTOMATISM,36918913,AUTOMATISM,FALSE
SUTURE REMOVAL,37522274,SUTURE REMOVAL,FALSE
VASCULAR TEST,36312112,VASCULAR TEST,FALSE
CATARACT NUCLEAR,35606826,CATARACT NUCLEAR,FALSE
NEUROPATHIC MUSCULAR ATROPHY,45886069,NEUROPATHIC MUSCULAR ATROPHY,FALSE
VEIN OF GALEN ANEURYSMAL MALFORMATION,788470,VEIN OF GALEN ANEURYSMAL MALFORMATION,FALSE
NODAL OSTEOARTHRITIS,36516823,NODAL OSTEOARTHRITIS,FALSE
EOSINOPHILIC MYOCARDITIS,35104833,EOSINOPHILIC MYOCARDITIS,FALSE
GOOD SYNDROME,1198731,GOOD SYNDROME,FALSE
LENS DISLOCATION,35606908,LENS DISLOCATION,FALSE
MISSED LABOUR,36818676,MISSED LABOUR,FALSE
EXTRACORPOREAL SHOCK WAVE THERAPY,37522166,EXTRACORPOREAL SHOCK WAVE THERAPY,FALSE
DOLICHOCOLON,35305685,DOLICHOCOLON,FALSE
POSTOPERATIVE RESPIRATORY FAILURE,42889674,POSTOPERATIVE RESPIRATORY FAILURE,FALSE
INTRACRANIAL HAEMATOMA,36718012,INTRACRANIAL HAEMATOMA,FALSE
PHOTODYNAMIC DIAGNOSTIC PROCEDURE,42889850,PHOTODYNAMIC DIAGNOSTIC PROCEDURE,FALSE
GONADOTROPHIN RELEASING HORMONE DEFICIENCY,43053768,GONADOTROPHIN RELEASING HORMONE DEFICIENCY,FALSE
CENTRAL VENOUS CATHETER REMOVAL,37522363,CENTRAL VENOUS CATHETER REMOVAL,FALSE
CEREBRAL CANDIDIASIS,788170,CEREBRAL CANDIDIASIS,FALSE
PROTHROMBIN TIME RATIO INCREASED,36313095,PROTHROMBIN TIME RATIO INCREASED,FALSE
HODGKIN'S DISEASE MIXED CELLULARITY STAGE I SITE UNSPECIFIED,35104437,HODGKIN'S DISEASE MIXED CELLULARITY STAGE I SITE UNSPECIFIED,TRUE
TRANSFUSION-RELATED ACUTE LUNG INJURY,36211756,TRANSFUSION-RELATED ACUTE LUNG INJURY,FALSE
VASCULAR FRAGILITY,37622495,VASCULAR FRAGILITY,FALSE
MELANOSIS,37320231,MELANOSIS,FALSE
TRANSAMINASES,36313602,TRANSAMINASES,FALSE
PALISADED NEUTROPHILIC GRANULOMATOUS DERMATITIS,36045723,PALISADED NEUTROPHILIC GRANULOMATOUS DERMATITIS,FALSE
PULMONARY TUMOUR THROMBOTIC MICROANGIOPATHY,1199775,PULMONARY TUMOUR THROMBOTIC MICROANGIOPATHY,TRUE
LEUKAEMIA IN REMISSION,35104325,LEUKAEMIA IN REMISSION,TRUE
FACTOR XA ACTIVITY NORMAL,788722,FACTOR XA ACTIVITY NORMAL,FALSE
HEPATIC ADENOMA,35909643,HEPATIC ADENOMA,TRUE
MESENTERIC VENOUS OCCLUSION,35739563,MESENTERIC VENOUS OCCLUSION,FALSE
INFUSION SITE INDURATION,35808932,INFUSION SITE INDURATION,FALSE
PERICARDIAL NEOPLASM,35205392,PERICARDIAL NEOPLASM,TRUE
ARTHRITIS VIRAL,36111014,ARTHRITIS VIRAL,FALSE
BLOOD ELECTROLYTES NORMAL,36316452,BLOOD ELECTROLYTES NORMAL,FALSE
ORAL SUBMUCOSAL FIBROSIS,35708573,ORAL SUBMUCOSAL FIBROSIS,FALSE
PERIORBITAL SWELLING,35633445,PERIORBITAL SWELLING,FALSE
SUPERIOR MESENTERIC ARTERY SYNDROME,35708228,SUPERIOR MESENTERIC ARTERY SYNDROME,FALSE
CYTOMEGALOVIRUS IMMUNISATION,42890404,CYTOMEGALOVIRUS IMMUNISATION,FALSE
GASTROINTESTINAL DISORDER CONGENITAL,35305672,GASTROINTESTINAL DISORDER CONGENITAL,FALSE
DRUG SPECIFIC ANTIBODY ABSENT,36316188,DRUG SPECIFIC ANTIBODY ABSENT,FALSE
INJECTION SITE CELLULITIS,35808965,INJECTION SITE CELLULITIS,FALSE
ORAL NEOPLASM BENIGN,35707617,ORAL NEOPLASM BENIGN,TRUE
VENTRICULAR DRAINAGE,37521518,VENTRICULAR DRAINAGE,FALSE
PROTHROMBIN TIME RATIO,36313092,PROTHROMBIN TIME RATIO,FALSE
T-CELL LYMPHOMA STAGE I,35104593,T-CELL LYMPHOMA STAGE I,TRUE
IRON BINDING CAPACITY TOTAL ABNORMAL,36316407,IRON BINDING CAPACITY TOTAL ABNORMAL,FALSE
DEPENDENCE ON RESPIRATOR,37219940,DEPENDENCE ON RESPIRATOR,FALSE
VASCULAR ACCESS SITE INFLAMMATION,788370,VASCULAR ACCESS SITE INFLAMMATION,FALSE
DEVICE INAPPROPRIATE SHOCK DELIVERY,45886009,DEVICE INAPPROPRIATE SHOCK DELIVERY,FALSE
APPLICATION SITE ACNE,43053797,APPLICATION SITE ACNE,FALSE
EPSTEIN-BARR VIRUS TEST,36314633,EPSTEIN-BARR VIRUS TEST,FALSE
PRODUCT PREPARATION ERROR,46276711,PRODUCT PREPARATION ERROR,FALSE
AORTITIS SALMONELLA,45885707,AORTITIS SALMONELLA,FALSE
DIFFUSE AXONAL INJURY,36211217,DIFFUSE AXONAL INJURY,FALSE
